,Bal,Brick,District,Floor,ID,Kitsp,Lift,Link,Livesp,Metrdist,New,Nfloor,Price,Remont,Tel,Totsp,Walk,dist,lat,lon,rooms
1773,1,0,2,5,1773,6.0,0,http://www.cian.ru/sale/flat/150828402/,29.0,10.0,0,5.0,5350000,,1.0,44.0,1.0,8.968699081508596,55.880515,37.583697,2
1774,1,0,2,2,1774,9.6,1,http://www.cian.ru/sale/flat/149367252/,19.5,10.0,0,14.0,5350000,косметический,1.0,35.0,0.0,13.168105800309048,55.876925,37.717142,1
1775,1,0,2,4,1775,6.0,0,http://www.cian.ru/sale/flat/149383251/,25.0,8.0,0,5.0,5350000,косметический,0.0,40.0,0.0,8.70401374765652,55.875168,37.583158,2
1776,–,0,2,7,1776,,–,http://www.cian.ru/sale/flat/150495939/,,,1,16.0,5352270,,,33.1,,7.660549733377531,55.848943,37.578073,1
1777,1,0,2,9,1777,8.8,1,http://www.cian.ru/sale/flat/40491671/,13.4,3.0,1,17.0,5361550,,,30.3,1.0,9.003390591305983,55.869347,37.669356,1
1778,–,0,2,3,1778,,–,http://www.cian.ru/sale/flat/149835753/,,,1,18.0,5367960,,,33.3,,7.660549733377531,55.848943,37.578073,1
1779,–,0,2,4,1779,,–,http://www.cian.ru/sale/flat/149835756/,,,1,18.0,5367960,,,33.3,,7.660549733377531,55.848943,37.578073,1
1780,–,0,2,9,1780,,–,http://www.cian.ru/sale/flat/150602301/,,,1,16.0,5368820,,,33.1,,7.660549733377531,55.848943,37.578073,1
1781,–,0,2,12,1781,,–,http://www.cian.ru/sale/flat/150602312/,,,1,16.0,5368820,,,33.1,,7.660549733377531,55.848943,37.578073,1
1782,–,0,2,7,1782,,–,http://www.cian.ru/sale/flat/149835816/,,,1,20.0,5372250,,,32.5,,7.660549733377531,55.848943,37.578073,1
1783,–,0,2,12,1783,,–,http://www.cian.ru/sale/flat/149835829/,,,1,20.0,5388500,,,32.6,,7.660549733377531,55.848943,37.578073,1
1784,–,0,2,15,1784,,–,http://www.cian.ru/sale/flat/150495942/,,,1,16.0,5391990,,,33.2,,7.660549733377531,55.848943,37.578073,1
1785,0,0,2,6,1785,,1,http://www.cian.ru/sale/flat/151097731/,20.0,10.0,1,18.0,5392320,,,27.4,1.0,6.079572230306531,55.850616,37.618053,1
1786,1,0,2,9,1786,5.3,1,http://www.cian.ru/sale/flat/149567275/,20.9,10.0,0,9.0,5400000,косметический,1.0,31.0,1.0,7.049206869364225,55.841832,37.581882,1
1787,0,0,2,10,1787,,1,http://www.cian.ru/sale/flat/146999763/,20.0,10.0,1,18.0,5410182,,,29.6,1.0,6.079572230306531,55.850616,37.618053,1
1788,–,0,2,15,1788,,–,http://www.cian.ru/sale/flat/149835835/,,,1,20.0,5411250,,,32.6,,7.660549733377531,55.848943,37.578073,1
1789,–,0,2,18,1789,,–,http://www.cian.ru/sale/flat/150602225/,,,1,20.0,5411250,,,32.6,,7.660549733377531,55.848943,37.578073,1
1790,–,0,2,19,1790,,–,http://www.cian.ru/sale/flat/149835840/,,,1,20.0,5411250,,,32.6,,7.660549733377531,55.848943,37.578073,1
1791,–,0,2,12,1791,,–,http://www.cian.ru/sale/flat/150602163/,,,1,18.0,5411600,,,33.2,,7.660549733377531,55.848943,37.578073,1
1792,1,0,2,2,1792,12.2,1,http://www.cian.ru/sale/flat/150684902/,33.6,15.0,1,12.0,11217600,,,65.6,1.0,10.258981376135846,55.872238,37.68491,2
